display  D   display_settings.c:214  debug_display_settings           [   0.07826] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07831] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07834] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07840] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07844] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07848] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07852] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07857] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07860] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07865] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07868] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07873] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07876] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07881] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07885] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07891] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07895] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07899] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07904] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07908] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07912] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07916] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.07920] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07924] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07928] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07933] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07936] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07941] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07945] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07949] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07953] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07957] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07961] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07966] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07970] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07974] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.07978] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.07987] Single Buffer requirement not met.
